Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
58914.48624137926,6.590092350697902,6.311064909420745,2.46,35282.71402562679,1072704.8902154437,"1787 Paige Path
Justinmouth, DC 31345-4841"
62636.83009596572,5.86360706673985,5.796622943238027,3.18,51456.29762908463,1047226.966817666,"84212 Christopher Knoll Suite 747
Codymouth, ID 33963-6108"
61688.68293870772,6.8428346327613285,8.33580659239496,6.15,35552.99117871315,1311473.3233082348,"Unit 6166 Box 9012
DPO AA 29420-5875"
74438.95591023786,7.700859387978928,6.466910234577331,3.5,22954.784519233912,1349818.250162027,"011 Michael Harbor Suite 611
Davisside, CA 83435-0364"
77434.68924044503,6.309271353146576,5.219754029195479,3.06,36252.34068234427,1172730.155769318,"4872 Delgado Ramp
North James, IA 36544"
76113.36652906767,5.625761810604439,7.067777356203628,6.13,46903.73742854483,1484688.2340335343,"6611 Baker Place
Alexmouth, LA 22246"
62846.905063162776,6.017848009636503,5.144709635560877,2.04,34628.99343368247,1024973.1952142384,"5574 Louis Port
Cortezhaven, ME 14097-3315"
72441.3770144945,6.343953016204763,6.571655417416222,4.26,38368.280277643134,1202621.178416139,"4912 Margaret Rapid
North Lindsay, AL 24424"
65363.74649268804,6.752351399014898,9.257404381226934,4.11,48714.6903316572,1775531.403945451,"801 Jeremy Burgs Apt. 796
Lake Peterfurt, WY 60366"
79442.505795037,6.300600085463341,5.9832047216642525,2.45,4114.489353324316,965318.6957876944,"479 Kevin Wells
Deborahview, ID 06062-1191"
68779.1742956941,5.1986505736867095,7.836796128173754,6.11,18901.415431760703,869924.0584222449,"649 Miller Fork Apt. 925
West Geraldside, VT 87236-9508"
58687.10129843845,6.598676142802331,6.63543390955736,4.31,29395.602494344326,938827.8008369108,"30340 Traci Streets
Wardview, AK 82480-1685"
77256.68329698939,6.316032181038115,7.377008766712192,4.35,31886.710202994032,1534295.195012713,"737 Regina View Apt. 523
South Markberg, NE 49825"
72485.19746024143,4.205495167989168,5.706925272255224,2.45,43134.03806216383,1036382.7663054836,"1608 Andrews Rest Apt. 672
Richardshire, IN 92603"
55784.47533705712,8.118399939304386,6.1766595649697305,2.34,29304.17221617749,1035171.059640798,"424 Crystal Landing Suite 616
Port Garystad, KS 50589-4622"
62135.394774591936,7.314557462427998,6.46890110692342,2.26,37575.23589357013,1432012.8709221852,"3854 Raymond Crossroad
Riveraberg, AL 41086-3560"
57335.79077358532,5.264702041347876,7.418269493262717,6.43,41826.05082094279,1059431.4512633595,"84812 Boyd Port
Christensenborough, MO 21303-3504"
80931.50921550271,5.771015011938347,4.29069917383452,4.12,31837.488069317427,1099788.6980318588,"Unit 3247 Box 3138
DPO AP 57852-8508"
74130.60632357746,6.919662892293178,8.266994398051075,3.24,49958.58099387747,1881075.4379420877,"925 Angel Prairie
West Craig, WI 18104"
79671.41400431398,6.295516139252013,6.840125382489145,2.44,35953.15722896447,1468459.9547469057,"Unit 3667 Box 2267
DPO AE 61231"
